part_id,description,variant,size,quantity,unit,unit_cost_usd,extended_cost_usd,critical,notes
SHELL-STAVE-WALNUT-T,"Black Walnut stave, 4/4 stock, 6.5in length",V1+V2,Travel 12in,16,each,3.00,48.00,Y,"Rip from 4/4; bevel 11.25 deg both edges; sand inside to 220"
SHELL-STAVE-WALNUT-S,"Black Walnut stave, 4/4 stock, 9.5in length",V1+V2,Standard 16in,16,each,4.50,72.00,Y,"Rip from 4/4; bevel 11.25 deg both edges. Recommended first prototype."
SHELL-STAVE-WALNUT-F,"Black Walnut stave, 4/4 stock, 11.5in length",V1+V2,Floor Pouf 20in,16,each,5.50,88.00,Y,"Rip from 4/4; bevel 11.25 deg both edges"
SHELL-SEG-WALNUT-T,"Black Walnut segment blank, 4/4 stock, 4 in piece",V1+V2 (alt),Travel 12in,96,each,0.50,48.00,N,"Alt body: 8 rings x 12 segments, 15 deg miter. Skip if building stave."
SHELL-SEG-WALNUT-S,"Black Walnut segment blank, 4/4 stock, 5 in piece",V1+V2 (alt),Standard 16in,96,each,0.65,62.40,N,"Alt body: 8 rings x 12 segments. Skip if building stave."
SHELL-SEG-WALNUT-F,"Black Walnut segment blank, 4/4 stock, 6 in piece",V1+V2 (alt),Floor Pouf 20in,96,each,0.80,76.80,N,"Alt body: 10 rings x 12 segments. Skip if building stave."
BOWL-SEG-WALNUT-T,"Black Walnut segment blank, 4/4 stock (graduated rings)",V3+V4,Travel 12in,72,each,0.55,39.60,N,"6 rings of decreasing dia for hemisphere"
BOWL-SEG-WALNUT-S,"Black Walnut segment blank, 4/4 stock (graduated rings)",V3+V4,Standard 16in,96,each,0.65,62.40,N,"8 rings of decreasing dia for hemisphere"
BOWL-SEG-WALNUT-F,"Black Walnut segment blank, 4/4 stock (graduated rings)",V3+V4,Floor Pouf 20in,120,each,0.80,96.00,N,"10 rings of decreasing dia for hemisphere"
BOWL-BLANK-WALNUT-T,"Black Walnut glue-up blank for CNC bowl, 13x13x4 in",V3+V4 (alt),Travel 12in,1,each,85.00,85.00,N,"Alt body: 4x 1in plies. CNC 3D-surface inside and outside."
BOWL-BLANK-WALNUT-S,"Black Walnut glue-up blank for CNC bowl, 17x17x5 in",V3+V4 (alt),Standard 16in,1,each,140.00,140.00,N,"Alt body: 5x 1in plies. CNC 3D-surface inside and outside."
BOWL-BLANK-WALNUT-F,"Black Walnut glue-up blank for CNC bowl, 21x21x6 in",V3+V4 (alt),Floor Pouf 20in,1,each,210.00,210.00,N,"Alt body: 6x 1in plies. CNC 3D-surface inside and outside."
SOUNDBOARD-PADAUK-T,"Padauk soundboard disc, 12.25 in OD, 0.25 in",V1+V3,Travel 12in,1,each,42.00,42.00,Y,"CNC-cut to OD. Slits routed before glue-up."
SOUNDBOARD-PADAUK-S,"Padauk soundboard disc, 16.25 in OD, 0.375 in",V1+V3,Standard 16in,1,each,68.00,68.00,Y,"CNC-cut to OD. Slits routed before glue-up. Recommended first prototype."
SOUNDBOARD-PADAUK-F,"Padauk soundboard disc, 20.25 in OD, 0.5 in",V1+V3,Floor Pouf 20in,1,each,98.00,98.00,Y,"CNC-cut to OD. Slits routed before glue-up. Consider Cedar substitute for D3 fit margin."
SOUNDBOARD-CEDAR-F-ALT,"Western Red Cedar soundboard disc, 20.25 in OD, 0.5 in",V1+V3 alt,Floor Pouf 20in,1,each,55.00,55.00,N,"Alternate to Padauk for tight D3 ding fit (K=29013 shortens tongues)"
